ID,Name,Team ID,Team Name,G,GS,GR,CG,SHO,NBB,W,L,SV,HLD,IP,BF,NP,H,HR,BB,IBB,HBP,SO,WP,BK,R,ER,GO,FO
0000006222,劉予承,ADD,統一,26,0,26,0,0,0,1,2,1,7,22.0,95,376,15,4,12,0,2,22,0,0,16,12,25,19
0000005731,布雷克,ADD,統一,25,25,0,1,0,0,10,7,0,0,149.2,622,2343,134,11,39,0,7,104,8,2,52,47,131,207
0000002303,黃竣彥,ADD,統一,25,0,25,0,0,0,3,0,0,1,24.0,108,382,31,1,11,0,1,12,1,0,14,11,19,34
0000006841,克維斯,ADD,統一,21,19,2,1,0,0,8,5,0,0,110.0,458,1942,91,5,44,0,6,115,4,0,43,38,109,93
0000001719,胡智爲,ADD,統一,18,15,3,0,0,0,4,8,0,0,84.1,374,1336,104,10,21,0,2,42,5,0,57,44,114,91
0000006762,羅昂,ADD,統一,14,13,1,0,0,0,4,5,0,0,84.1,337,1290,63,4,22,0,3,73,2,0,24,22,86,90
0000004638,古林睿煬,ADD,統一,13,13,0,0,0,0,5,2,0,0,80.0,311,1179,56,4,15,0,3,52,4,0,19,16,84,101
0000005282,姚杰宏,ADD,統一,12,0,12,0,0,0,0,0,0,1,18.2,82,307,15,2,12,0,2,8,2,0,8,8,19,26
0000002695,林子崴,ADD,統一,12,7,5,0,0,0,1,2,0,1,39.1,167,691,23,2,26,0,1,25,6,0,18,14,32,60
0000006712,楊孟沅,ADD,統一,11,0,11,0,0,0,0,0,0,2,10.0,45,172,9,1,7,0,0,9,1,0,7,7,6,14
0000006848,林詔恩,ADD,統一,11,2,9,0,0,0,0,2,0,0,17.1,77,303,19,1,6,0,0,15,1,0,8,8,13,24
0000005604,勝騎士,ADD,統一,10,9,1,0,0,0,8,1,0,1,62.2,241,909,47,2,11,0,1,42,0,1,11,10,57,83
0000002276,鄭鈞仁,ADD,統一,10,0,10,0,0,0,0,1,0,0,9.1,44,155,9,0,5,0,1,4,0,0,10,9,10,15
0000007057,布萊威,ADD,統一,7,7,0,0,0,0,3,3,0,0,41.0,171,662,37,2,11,0,2,40,1,0,18,18,33,48
